location,temperature,humidity,rainfall,wind_speed,risk_score,risk_level
Mumbai,28,85,22,15,55,MEDIUM
Mumbai,30,70,15,10,25,LOW
Mumbai,26,92,55,20,85,HIGH
Mumbai,32,75,5,12,20,LOW
Mumbai,29,88,40,18,70,HIGH
Pune,30,65,10,10,30,LOW
Pune,31,72,0,15,15,LOW
Pune,27,90,25,20,65,MEDIUM
Pune,29,80,60,12,85,HIGH
Pune,28,85,12,14,40,MEDIUM
Nashik,26,92,30,20,70,HIGH
Nashik,25,95,45,22,85,HIGH
Nashik,27,88,5,18,25,LOW
Nashik,28,82,70,15,90,HIGH
Nashik,29,78,20,12,45,MEDIUM
Nagpur,32,70,18,10,35,LOW
Nagpur,33,68,50,12,75,HIGH
Nagpur,31,75,5,15,20,LOW
Nagpur,30,80,25,18,65,MEDIUM
Nagpur,29,85,60,20,90,HIGH
