Start Date,End Date,Duration(Days),Main Cause,Districts,State,Human fatality,Human injured,Human Displaced,Description of Casualties/injured,Extent of damage 
07-06-2015 00:00,16-06-2015 00:00,10,heavy rains,"Aurangabad, Beed, Hingoli, Jalna, Latur, Nanded, Dharashiv, Parbhani",Maharashtra,17,,,17 persons died,"i)Roofs of hused blown away ii)Several trees/electic poles uprooted causing disruption in vehicular traffic,power supply"
23-06-2015 00:00,23-06-2015 00:00,1,heavy rains,"Pune, Nagpur",Maharashtra,6,,,"3 persosns died due to landslide on Pune express way , 3 persons died",i)Several areas inundated ii)Normal life paralysed
20-07-2015 00:00,20-07-2015 00:00,1,heavy rains,Pune,Maharashtra,2,3,,"2 persons died,3 other injured due to landslide on car on Pune Express way",
28-07-2015 00:00,28-07-2015 00:00,1,heavy rains,Mumbai,Maharashtra,4,,,4 persons died at Vakola Santacruz,
29-07-2015 00:00,29-07-2015 00:00,1,heavy rains,"Mumbai,Mumbai Suburban, Thane",Maharashtra,9,10,,"9 persons died,10 injured",
06-08-2015 00:00,14-08-2015 00:00,9,heavy rains,"Akola, Amravati, Chandrapur, Nagpur, Wardha",Maharashtra,8,1,,"7 persons died,1 cyclist swept away in Nagpur. 1 teenage injured due to wall collapsed i Chandrapur District","i)Wide spread damage to crops reported ii)Damage to many houses reported iii)Thousands of people affected iv)Water logging in at most places including Railway Station, Bus stand,over bridge v)Several trees/electric poles uprooted causing disruption in vehicular traffic,power supply"
21-05-2016 00:00,21-05-2016 00:00,1,heavy rains,"Bhandara, Gadchiroli, Gondia",Maharashtra,2,1,,i) 2 persons died & one girl injured due to wall collapsed in Gondia Dist. ii) 100 hens perished.,i) Damage to 568 houses reported ii) Several trees/electric poles uprooted causing disruption in vehicular traffic & power supply.
06-06-2016 00:00,06-06-2016 00:00,1,heavy rains,Parts of Maharashtra,Maharashtra,2,,,2 persons died.,
20-06-2016 00:00,20-06-2016 00:00,1,heavy rains,Mumbai,Maharashtra,1,,,One person died.,22 trees uprooted causing disruption in vehicular traffic.
25-06-2016 00:00,25-06-2016 00:00,1,heavy rains,Mumbai,Maharashtra,2,,,2 persons died.,
01-07-2016 00:00,03-07-2016 00:00,3,heavy rains,"Ahmednagar, Dhule, Jalgaon, Mumbai, Nandurbar, Nashik, Pune",Maharashtra,11,,,11 persons died.,
08-07-2016 00:00,10-07-2016 00:00,3,"heavy rains & flood in narmada, tapi wainganga","Chandrapur, Gadchiroli, Nandurbar",Maharashtra,9,2,,Total 9 persons died 6 persons died in Chandrapur Dist. due to flood in Wainganga river. While 3 persons died & 2 others missing in Pachorabari village of Nandurbar Dist. 50 livestock perished.,i) Damage to 200 houses reported. ii) Damage to railway track reported.
11-07-2016 00:00,12-07-2016 00:00,2,heavy rains,"Kolhapur, Mumbai, Mumbai Suburban, Raigad, Ratnagiri, Sindhudurg, Thane, Palghar",Maharashtra,1,,,One person died in Konkan region.,"i) 31 roads including 22 main roads,9 highways are completely under water in Kolhapur Dist. ii) Around 80 villages lost contact from rest of the state in Konkan region."
12-07-2016 00:00,12-07-2016 00:00,1,heavy rains,"Akola, Amravati, Chandrapur, Gadchiroli Yavotmal, Washim",Maharashtra,2,,,2 persons died.,More than 100 villages marooned.
28-07-2016 00:00,28-07-2016 00:00,1,heavy rains,"Akola, Amravati",Maharashtra,2,,,2 persons died.,Damage to many houses reported.
