Station,Station,Station,Station,Station,Station,Station,Local River,Latitude,Longitude,Data Acquisition Time,Manual Daily Rainfall (mm)
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,06-12-2021 08:30,112.4
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,06-12-2021 08:30,112.4
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,6/13/2021 8:30,125.6
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,6/13/2021 8:30,125.6
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,6/14/2021 8:30,235.2
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,6/14/2021 8:30,235.2
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,6/15/2021 8:30,95.4
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,6/15/2021 8:30,95.4
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,6/16/2021 8:30,170.4
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,6/16/2021 8:30,170.4
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,6/17/2021 8:30,225.4
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,6/17/2021 8:30,225.4
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,6/18/2021 8:30,186.6
