date,location,temperature_c,humidity_percent,wind_speed_kmh
2026-08-01,Mumbai,28,85,15
2026-08-02,Mumbai,30,70,10
2026-08-03,Mumbai,26,92,20
2026-08-04,Mumbai,32,75,12
2026-08-05,Mumbai,29,88,18
2026-08-06,Pune,30,65,10
2026-08-07,Pune,31,72,15
2026-08-08,Pune,27,90,20
2026-08-09,Pune,29,80,12
2026-08-10,Pune,28,85,14
2026-08-11,Nashik,26,92,20
2026-08-12,Nashik,25,95,22
2026-08-13,Nashik,27,88,18
2026-08-14,Nashik,28,82,15
2026-08-15,Nashik,29,78,12
2026-08-16,Nagpur,32,70,10
2026-08-17,Nagpur,33,68,12
2026-08-18,Nagpur,31,75,15
2026-08-19,Nagpur,30,80,18
2026-08-20,Nagpur,29,85,20
